0 教务宣布取消期中退课制度 这，就是世界一流大学 10 0 0 0 -1
1 米哈游发布《崩坏·星穹铁道》 别肝了，新手池50发+大保底就是你的宿命 -1 -8 -1 -100 0
2 军训改为线上教学 这种事也就敢在游戏里写写 1 10 0 0 1
3 openAI发布GPT114514.0模型，写代码能力大幅提高 你怎么知道这个游戏是不是AI写的？ -5 10 3 100 1
4 家园四楼开放麦当劳窗口 你猜猜这次是不是钓鱼？ 0 5 1 -50 -1
5 test test 0 0 0 0 0
6 test test 0 0 0 0 0
7 test test 0 0 0 0 0
8 test test 0 0 0 0 0
9 test test 0 0 0 0 0
10 test test 0 0 0 0 0
11 test test 0 0 0 0 0
12 test test 0 0 0 0 0
13 test test 0 0 0 0 0
14 test test 0 0 0 0 0
15 test test 0 0 0 0 0
16 test test 0 0 0 0 0
17 test test 0 0 0 0 0
18 test test 0 0 0 0 0
19 test test 0 0 0 0 0
